Date,SPY,MMM,A,MSFT,F,AAPL,SPYret,MMMret,Aret,MSFTret,Fret,AAPLret
12/1/2011,108.938858,69.103195,23.116854,21.823296,8.202476,38.879959,,,,,,
1/1/2012,114.713799,73.313805,28.106873,24.824419,9.467913,43.822041,0.053010846,0.060932204,0.215860644,0.137519236,0.154275002,0.127111297
2/1/2012,119.693024,74.066315,28.867949,26.682266,9.474458,52.074196,0.043405632,0.010264233,0.027077932,0.074839496,0.000691282,0.188310604
3/1/2012,123.0037,75.936745,29.456951,27.297937,9.550987,57.556755,0.027659724,0.02525345,0.02040332,0.023074165,0.008077401,0.105283603
4/1/2012,122.718063,76.064438,28.003004,27.094851,8.632626,56.062031,-0.002322182,0.001681571,-0.049358367,-0.00743961,-0.096153518,-0.025969567
5/1/2012,115.348122,71.850945,26.993883,24.700151,8.116591,55.46204,-0.060055878,-0.055393731,-0.03603617,-0.088382106,-0.059777291,-0.01070227
6/1/2012,119.410332,76.796944,26.051151,26.054655,7.371032,56.063938,0.035216958,0.068836937,-0.034923912,0.054837883,-0.091856175,0.010852432
7/1/2012,121.448952,78.194031,25.515022,25.100708,7.102016,58.6329,0.017072392,0.018191961,-0.020579858,-0.036613304,-0.036496382,0.045822004
8/1/2012,124.491577,79.368271,24.762033,26.250557,7.178877,63.862984,0.025052707,0.015017003,-0.029511595,0.045809425,0.01082242,0.0892005
9/1/2012,126.969795,79.718582,25.621639,25.515629,7.619792,66.017181,0.019906712,0.004413741,0.034714678,-0.027996663,0.061418381,0.033731543
10/1/2012,125.3246,75.561012,24.069611,24.469625,8.624431,58.913731,-0.012957373,-0.052153085,-0.060574891,-0.040994639,0.131845987,-0.10760002
11/1/2012,126.03392,78.450607,25.607817,22.823465,8.891454,57.920139,0.005659862,0.038241878,0.063906558,-0.06727361,0.030961231,-0.016865202
12/1/2012,126.264404,80.620544,27.3801,23.0888,10.056273,54.395519,0.001828746,0.027659913,0.069208672,0.011625535,0.131004333,-0.0608531
1/1/2013,133.669266,87.306366,30.05098,23.728479,10.056273,46.557709,0.058645681,0.082929507,0.097548219,0.027705164,0,-0.144089259
2/1/2013,135.374786,90.301949,27.836418,24.031023,9.864353,45.117504,0.012759253,0.034311164,-0.073693504,0.012750248,-0.019084605,-0.03093376
3/1/2013,139.892883,92.877754,28.165245,24.935972,10.286779,47.159058,0.033374731,0.028524357,0.011812835,0.037657531,0.042823488,0.045249711
4/1/2013,143.214691,91.479904,27.920858,28.849375,10.724846,47.171841,0.023745368,-0.015050429,-0.008676899,0.156938057,0.042585439,0.000271061
5/1/2013,146.595978,96.33741,30.622658,30.418219,12.265907,47.91227,0.023609917,0.053099159,0.096766367,0.05438052,0.143690735,0.015696419
6/1/2013,143.878433,96.078308,28.810225,30.315554,12.190547,44.282856,-0.01853765,-0.002689526,-0.059186012,-0.003375115,-0.006143859,-0.075751243
7/1/2013,152.114258,103.177666,30.255362,27.945776,13.301648,50.536705,0.057241553,0.073891372,0.050160559,-0.078170368,0.091144474,0.14122506
8/1/2013,147.551956,99.794937,31.547293,29.31498,12.833052,54.410748,-0.029992599,-0.032785477,0.042700894,0.048995025,-0.035228417,0.076658005
9/1/2013,151.483124,105.497772,34.665497,29.415483,13.372057,55.803791,0.026642602,0.057145534,0.098842205,0.003428384,0.04200131,0.02560235
10/1/2013,159.270309,111.187431,34.444988,31.298151,13.562295,61.18224,0.051406287,0.053931556,-0.006361051,0.064002621,0.014226532,0.096381427
11/1/2013,163.990738,117.954994,36.35181,33.702305,13.615832,65.088203,0.029637847,0.060866259,0.055358475,0.07681457,0.003947488,0.063841451
12/1/2013,167.333969,124.517715,38.808289,33.316677,12.300487,68.44883,0.020386706,0.0556375,0.06757515,-0.011442185,-0.096604086,0.051631891
1/1/2014,162.312393,113.810524,39.586864,33.699623,11.92581,61.077103,-0.030009304,-0.085989299,0.02006208,0.011494123,-0.030460339,-0.107696903
2/1/2014,169.70018,119.616913,38.756325,34.118206,12.366936,64.205406,0.045515853,0.051018032,-0.020980167,0.012420999,0.036989186,0.051218916
3/1/2014,170.356049,121.234009,38.068756,36.778709,12.535686,68.332603,0.003864869,0.013518958,-0.01774082,0.077978983,0.013645255,0.064281145
4/1/2014,172.297028,124.299248,36.788887,36.249313,12.977647,75.124626,0.011393661,0.025283656,-0.033619932,-0.014394089,0.035256228,0.099396521
5/1/2014,176.29541,127.391319,38.894447,36.733837,13.313924,80.587517,0.023206332,0.024876023,0.057233588,0.013366433,0.025912016,0.072717713
6/1/2014,179.076904,128.793198,39.235981,37.679714,13.961802,86.166939,0.015777461,0.01100451,0.008781048,0.025749475,0.048661687,0.069234321
7/1/2014,177.5168,126.680199,38.436504,38.998959,13.783636,88.642609,-0.008711922,-0.016406138,-0.020376119,0.035012076,-0.01276096,0.028731089
8/1/2014,184.522308,129.476532,39.169735,41.050098,14.200507,95.040451,0.039463916,0.022073955,0.019076423,0.052594712,0.030243907,0.072175696
9/1/2014,181.129898,128.150116,39.046387,42.152081,12.063498,93.882469,-0.018384823,-0.010244451,-0.003149064,0.026844832,-0.150488218,-0.012184096
10/1/2014,186.262466,139.085587,38.004715,42.688526,11.492543,100.638283,0.028336393,0.08533329,-0.026677808,0.012726418,-0.047329141,0.071960336
11/1/2014,191.379456,144.802002,41.078175,43.470474,12.94448,110.823257,0.027471933,0.041099981,0.080870492,0.018317522,0.126337313,0.101203774
12/1/2014,189.846146,149.425797,39.348164,42.500294,12.75521,103.302063,-0.008011884,0.031931844,-0.042115089,-0.022318137,-0.014621677,-0.067866567
1/1/2015,185.237854,147.588882,36.301414,36.964733,12.105103,109.647324,-0.024273824,-0.012293158,-0.077430551,-0.130247593,-0.050967957,0.06142434
2/1/2015,195.649094,153.363342,40.668121,40.121365,13.583669,120.222733,0.056204711,0.039125305,0.120290273,0.085395774,0.122144025,0.096449312
3/1/2015,191.72049,150.931656,40.03223,37.467381,13.417406,116.910706,-0.020079848,-0.015855719,-0.015636105,-0.066148896,-0.012239918,-0.027549091
4/1/2015,194.469864,143.099152,39.95697,44.820786,13.13476,117.587212,0.014340533,-0.051894375,-0.001879985,0.196261516,-0.021065622,0.005786519
5/1/2015,196.970016,145.560547,39.783119,43.180553,12.729929,122.407204,0.012856244,0.017200626,-0.004350956,-0.036595364,-0.030821347,0.040990784
6/1/2015,192.072342,142.079575,37.262264,40.947735,12.595666,118.34256,-0.024865074,-0.023914255,-0.063364941,-0.051708879,-0.010547034,-0.033205921
7/1/2015,197.281662,139.354004,39.650326,43.31279,12.444617,114.445923,0.027121656,-0.019183412,0.064087947,0.057757896,-0.011992141,-0.032926759
8/1/2015,186.69809,130.882614,35.157593,40.363434,11.75796,106.539444,-0.053647014,-0.060790431,-0.113308854,-0.068094343,-0.05517703,-0.069084846
9/1/2015,179.601776,131.450439,33.240433,41.320454,11.50364,104.538551,-0.038009569,0.00433843,-0.054530468,0.023710074,-0.021629602,-0.018780772
10/1/2015,196.837891,145.766525,36.667702,49.143898,12.554821,113.25798,0.095968511,0.108908621,0.103105426,0.189335867,0.09137812,0.083408742
11/1/2015,196.64946,145.182388,40.610249,50.74033,12.271536,112.120659,-0.00095729,-0.004007347,0.107520973,0.032484847,-0.022563842,-0.010041862
12/1/2015,192.107529,140.592468,40.600544,52.144402,12.066011,100.188835,-0.023096585,-0.031614854,-0.000238979,0.027671716,-0.016748107,-0.106419496
