DATE,MCOILWTICO,oil_ret
9/1/14,93.21,
10/1/14,84.4,-0.094517756
11/1/14,75.79,-0.102014218
12/1/14,59.29,-0.217706821
1/1/15,47.22,-0.203575645
2/1/15,50.58,0.07115629
3/1/15,47.82,-0.054567023
4/1/15,54.45,0.138644918
5/1/15,59.27,0.088521579
6/1/15,59.82,0.009279568
7/1/15,50.9,-0.149114009
8/1/15,42.87,-0.157760314
9/1/15,45.48,0.060881735
10/1/15,46.22,0.016270888
11/1/15,42.44,-0.081782778
12/1/15,37.19,-0.123704053
1/1/16,31.68,-0.148158107
2/1/16,30.32,-0.042929293
3/1/16,37.55,0.238456464
4/1/16,40.75,0.085219707
5/1/16,46.71,0.146257669
6/1/16,48.76,0.043887818
7/1/16,44.65,-0.084290402
8/1/16,44.72,0.001567749
9/1/16,45.18,0.010286225
10/1/16,49.78,0.101814962
11/1/16,45.66,-0.082764162
12/1/16,51.97,0.138195357
1/1/17,52.5,0.010198191
2/1/17,53.47,0.01847619
3/1/17,49.33,-0.077426594
4/1/17,51.06,0.035069937
5/1/17,48.48,-0.05052879
6/1/17,45.18,-0.068069307
7/1/17,46.63,0.032093847
8/1/17,48.04,0.030238044
9/1/17,49.82,0.037052456
10/1/17,51.58,0.035327178
11/1/17,56.64,0.098100039
12/1/17,57.88,0.021892655
1/1/18,63.7,0.100552868
2/1/18,62.23,-0.023076923
3/1/18,62.73,0.00803471
4/1/18,66.25,0.056113502
5/1/18,69.98,0.056301887
6/1/18,67.87,-0.030151472
7/1/18,70.98,0.045822897
8/1/18,68.06,-0.041138349
9/1/18,70.23,0.031883632
10/1/18,70.75,0.007404243
11/1/18,56.96,-0.194911661
12/1/18,49.52,-0.130617978
1/1/19,51.38,0.037560582
2/1/19,54.95,0.069482289
3/1/19,58.15,0.058234759
4/1/19,63.86,0.098194325
5/1/19,60.83,-0.047447541
6/1/19,54.66,-0.101430215
7/1/19,57.35,0.049213319
8/1/19,54.81,-0.044289451
9/1/19,56.95,0.03904397
10/1/19,53.96,-0.052502195
