Date,videoid,Views,Avg_duration,Earnings,vidviews,likes,dislikes,comments,startdate,daysactive
9/1/12,17a,18,3.91,0.15,43539,246,6,44,11/19/09,1220
9/1/12,13,2,5.75,0,12242,79,0,9,10/27/09,1243
9/1/12,24b,5,1.02,0,8704,72,0,13,2/9/10,1138
9/1/12,45,2,1.18,0,5703,35,1,6,11/16/10,858
9/1/12,36,3,0,0,5888,30,1,5,7/9/10,988
9/1/12,5,13,4.16,0.05,19875,180,0,25,9/25/09,1275
9/1/12,1,14,3.24,0.01,23785,228,1,28,8/31/09,1300
9/1/12,WhatIs,12,2.79,0.02,40995,98,3,11,12/20/10,824
9/1/12,41,13,4.89,0,14982,166,1,26,3/12/10,1107
9/1/12,29,6,0.49,0.07,20514,223,0,38,3/26/10,1093
9/1/12,4,12,2.79,0,11754,56,3,12,9/19/09,1281
9/1/12,9,12,3.97,0,14758,144,1,24,10/6/09,1264
9/1/12,6b,7,2.82,0,11826,97,4,20,11/21/10,853
9/1/12,E16,5,1.09,0,6818,30,0,3,12/29/10,815
9/1/12,16a,3,0.52,0,11263,74,1,13,11/9/09,1230
9/1/12,23,4,1.25,0,23980,75,4,18,1/27/10,1151
9/1/12,6,36,3.83,0.06,82659,353,5,54,9/27/09,1273
9/1/12,E11,8,1.41,0,4858,30,0,5,12/27/10,817
9/1/12,E14,11,4.93,0,11267,61,2,16,12/27/10,817
9/1/12,E19,5,2.66,0.02,3170,21,1,9,1/7/11,806
9/1/12,18,22,3.67,0.24,29105,129,5,27,1/7/10,1171
9/1/12,11a,13,2.87,0.01,47383,259,13,57,10/13/09,1257
9/1/12,26,17,2.6,0,24375,73,7,17,2/21/10,1126
9/1/12,40,19,4.26,0,17705,202,0,25,8/30/10,936
9/1/12,20,12,1.65,0,29020,113,8,15,1/15/10,1163
9/1/12,R2,5,1.57,0,4602,38,0,2,2/23/11,759
9/1/12,29b,0,0,0,6610,42,1,12,3/27/10,1092
9/1/12,25,9,3.39,0,10851,48,1,13,2/13/10,1134
9/1/12,39,7,6.81,0,11422,96,2,32,8/16/10,950
9/1/12,30,0,0,0,8820,75,1,10,3/27/10,1092
9/1/12,22,2,7.16,0.13,9094,63,0,11,1/26/10,1152
9/1/12,R6,1,12.59,0.02,2189,10,0,2,3/3/11,751
9/1/12,15a,4,1.92,0,5521,24,0,5,11/3/09,1236
9/1/12,E18,4,0.26,0.01,6502,31,1,10,12/31/10,813
9/1/12,Reg1,13,2.44,0,23308,67,4,23,9/20/09,1280
9/1/12,Sunk,0,0,0,5532,26,0,3,7/16/10,981
9/1/12,9c,14,2.21,0,12330,181,3,17,12/29/10,815
9/1/12,27,11,2.6,0,24085,137,6,31,3/10/10,1109
9/1/12,E15,22,4.28,0,21635,152,4,26,12/28/10,816
9/1/12,R13,2,5.3,0.01,1739,9,0,1,4/14/11,709
9/1/12,R5,3,3.28,0,2893,21,0,5,3/1/11,753
9/1/12,34,1,0.27,0.01,10359,35,1,9,6/7/10,1020
9/1/12,R8,6,2.61,0.01,1796,17,0,1,4/9/11,714
9/1/12,35a,9,1.63,0,16629,68,3,20,7/6/10,991
9/1/12,7,18,4.43,0.06,52310,580,10,65,9/29/09,1271
9/1/12,9a,13,3.73,0,15061,129,0,25,10/6/09,1264
9/1/12,29a,5,2.06,0,9318,37,0,6,3/27/10,1092
9/1/12,19,12,5.95,0,24811,178,3,19,1/12/10,1166
9/1/12,E21,7,3.29,0,5453,30,0,16,4/18/11,705
9/1/12,12,9,3.72,0,13243,44,3,20,10/21/09,1249
9/1/12,R12,1,13.01,0.01,3457,22,0,10,4/12/11,711
9/1/12,UsefulTrick,1,0.68,0,2452,21,2,4,7/16/10,981
9/1/12,E110,6,4.6,0.01,6011,28,2,10,1/10/11,803
9/1/12,10,40,3.04,0.07,67029,490,10,63,10/13/09,1257
9/1/12,42,21,3.91,0.15,20617,278,1,26,8/30/10,936
9/1/12,14,7,3.37,0,5101,29,0,6,10/27/09,1243
9/1/12,6c,12,3.69,0,10664,89,1,15,12/12/10,832
9/1/12,24a,7,2.2,0.03,18345,100,2,31,2/8/10,1139
9/1/12,44,13,5.02,0,21913,232,0,34,11/15/10,859
9/1/12,1b,13,4.23,0,6164,60,0,4,2/19/11,763
9/1/12,32,2,3.99,0.01,13032,87,0,11,6/7/10,1020
9/1/12,37,13,1.99,0,21085,211,1,32,8/6/10,960
9/1/12,28,2,3.94,0.02,10086,78,0,10,3/23/10,1096
9/1/12,NegExt,5,2.66,0.01,1773,21,1,8,4/21/11,702
9/1/12,E12,2,1.49,0,2600,17,0,1,12/27/10,817
9/1/12,R11,2,1.9,0,1164,9,0,0,4/3/11,720
9/1/12,11,14,3.86,0.02,25380,151,2,45,10/13/09,1257
9/1/12,35,14,1.6,0.07,27407,141,4,48,6/14/10,1013
9/1/12,21,10,2.09,0,18107,131,1,23,1/23/10,1155
9/1/12,16,8,4.6,0,23359,277,4,38,11/9/09,1230
9/1/12,8,17,3.21,0,28254,164,4,25,10/2/09,1268
9/1/12,R9,3,1,0.01,3544,8,0,12,4/10/11,713
9/1/12,9b,17,3.53,0.08,38811,256,6,51,12/18/10,826
9/1/12,R14,0,0,0,800,7,0,0,4/19/11,704
9/1/12,2,22,4.86,0.1,23780,231,6,44,9/11/09,1289
9/1/12,R3,0,0,0,2805,18,0,0,2/25/11,757
9/1/12,Reg3,4,1.74,0,9166,26,0,6,9/20/09,1280
9/1/12,43,11,4.3,0.01,25256,292,4,33,11/7/10,867
9/1/12,6a,13,2.2,0.11,30852,163,3,28,9/27/09,1273
9/1/12,R7,2,6.52,0.03,1609,10,0,1,3/7/11,747
9/1/12,E111,2,0.33,0.02,1491,10,2,4,2/19/11,763
9/1/12,ANOVA,7,3.55,0,13723,58,1,18,9/22/09,1278
9/1/12,E17,6,2.89,0.01,8616,47,0,15,12/29/10,815
9/1/12,3,8,3.93,0,10818,110,0,18,9/12/09,1288
9/1/12,17,10,3.58,0.03,19284,194,1,23,11/17/09,1222
9/1/12,E13,2,8.14,0,2758,24,0,1,12/27/10,817
9/1/12,R4,4,4.78,0,4732,33,0,5,2/28/11,754
9/1/12,R10,4,7.7,0.13,4778,34,0,5,3/29/11,725
9/1/12,R1,5,4.23,0.06,6365,85,1,10,2/21/11,761
9/1/12,Reg2,4,2.97,0,19069,31,4,8,9/20/09,1280
9/1/12,33,6,2.35,0,13834,52,2,14,6/7/10,1020
9/1/12,38,9,3.72,0,9626,63,2,10,8/15/10,951
9/1/12,31,0,0,0,4615,52,1,3,3/28/10,1091
9/2/12,E111,3,5.11,0,1491,10,2,4,2/19/11,763
9/2/12,E14,12,1.47,0,11267,61,2,16,12/27/10,817
9/2/12,9,18,2.81,0.03,14758,144,1,24,10/6/09,1264
9/2/12,E11,9,5.35,0,4858,30,0,5,12/27/10,817
9/2/12,17a,18,2.8,0.02,43539,246,6,44,11/19/09,1220
9/2/12,E12,8,1.79,0.13,2600,17,0,1,12/27/10,817
9/2/12,14,4,4.32,0,5101,29,0,6,10/27/09,1243
9/2/12,WhatIs,26,1.09,0.22,40995,98,3,11,12/20/10,824
